First ,Last,StreetAddress,City,State,ZipCode,Gender,Birthday,Age,Telephone Number
Joan,Mao,2725 Brooklyn Street,Colorado Springs,CO,80918,male,8/18/95,19,719-240-8194
Gary,Marini,3042 Junkins Avenue,Colorado Springs,CO,80918,male,11/12/81,33,719-460-3395
Jason,Martin,1889 Mutton Town Road,Colorado Springs,CO,80918,male,7/20/94,20,719-623-3270
David,Martin,638 Pike Street,Colorado Springs,CO,80918,male,2/11/76,39,719-626-3174
Tanika,Martinez,2913 Hood Avenue,Colorado Springs,CO,80918,female,10/31/79,35,719-649-9021
Abigail,Martinez,1770 Lindale Avenue,Colorado Springs,CO,80918,female,10/24/29,85,719-483-6961
Grant,Martinez,1688 Wakefield Street,Colorado Springs,CO,80918,male,5/26/48,67,719-464-5483
Brad,Martinson,2125 Lowland Drive,Colorado Springs,CO,80918,male,8/26/45,69,719-399-3710
Jonathan,Mathes,2797 Stutler Lane,Colorado Springs,CO,80918,male,1/11/55,60,719-496-3298
Matthew,Mathews,2296 Grove Street,Colorado Springs,CO,80918,male,3/16/49,66,719-782-3489
Kathryn,McCarter,797 Tori Lane,Colorado Springs,CO,80918,female,7/27/74,40,719-597-4018
Jeremy,McClelland,4762 Scheuvront Drive,Colorado Springs,CO,80918,male,5/7/60,55,719-509-2700
Joseph,McDaniel,4297 Tree Frog Lane,Colorado Springs,CO,80918,male,10/11/91,23,719-523-0672
Steven,McDonald,2650 Post Avenue,Colorado Springs,CO,80918,male,6/15/69,46,719-961-7889
Jason,McHugh,4978 Hill Croft Farm Road,Colorado Springs,CO,80918,male,3/26/31,84,719-571-6479
Aaron,McIntosh,3162 Eden Drive,Colorado Springs,CO,80918,male,4/14/90,25,719-952-2163
Fred,McKillip,2760 Lost Creek Road,Colorado Springs,CO,80918,male,7/3/66,48,719-903-6249
Valerie,McKinney,3092 Star Route,Colorado Springs,CO,80918,female,6/25/40,75,719-608-7053
Constance,McLaughlin,4109 Quiet Valley Lane,Colorado Springs,CO,80918,female,6/3/74,41,719-968-1861
Candace,McMahan,621 Oakdale Avenue,Colorado Springs,CO,80918,female,5/27/64,51,719-439-3921
Jessica,McMillan,3203 Rivendell Drive,Colorado Springs,CO,80918,female,4/26/44,71,719-810-4281
Anna,McNeal,2508 Calvin Street,Colorado Springs,CO,80918,female,9/28/51,63,719-338-7631
Willis,McNeal,4215 Collins Avenue,Colorado Springs,CO,80918,male,2/13/43,72,719-830-7027
Sarah,McNeely,876 Rose Street,Colorado Springs,CO,80918,female,4/27/69,46,719-957-1625
Clarence,McNeill,292 Oakdale Avenue,Colorado Springs,CO,80918,male,9/16/64,50,719-447-1625
Regina,Mead,1392 County Line Road,Colorado Springs,CO,80918,female,4/3/70,45,719-682-4136
Darryl,Messenger,1481 College Avenue,Colorado Springs,CO,80918,male,1/4/48,67,719-459-3528
Anthony,Meyer,616 Burning Memory Lane,Colorado Springs,CO,80918,male,5/28/70,45,719-280-9607
Mary,Meyer,2161 Fannie Street,Colorado Springs,CO,80918,female,4/11/66,49,719-240-5446
Virginia,Midgley,375 Ashton Lane,Colorado Springs,CO,80918,female,9/13/44,70,719-458-2414
Felecia,Miller,29 Burwell Heights Road,Colorado Springs,CO,80918,female,12/25/39,75,719-626-9813
Margie,Miller,2561 Sugar Camp Road,Colorado Springs,CO,80918,female,3/18/44,71,719-504-2268
Frederick,Miller,1071 Zappia Drive,Colorado Springs,CO,80918,male,11/10/83,31,719-372-5580
Jason,Miller,231 Lowland Drive,Colorado Springs,CO,80918,male,3/27/50,65,719-404-8160
Sandra,Minaya,2249 Heather Sees Way,Colorado Springs,CO,80918,female,11/10/95,19,719-682-1273
Aaron,Mobley,3072 Mandan Road,Colorado Springs,CO,80918,male,8/26/60,54,719-838-7951
Jacqueline,Montero,3771 Hall Place,Colorado Springs,CO,80918,female,6/1/63,52,719-785-0698
Melissa,Mooneyham,997 Oakridge Lane,Colorado Springs,CO,80918,female,12/30/94,20,719-821-3617
Angel,Moore,1616 Hickory Ridge Drive,Colorado Springs,CO,80918,male,5/7/57,58,719-597-1188
Jennifer,Moore,1296 Lincoln Street,Colorado Springs,CO,80918,female,9/25/90,24,719-447-2343
Bobbie,Moore,2268 Lucky Duck Drive,Colorado Springs,CO,80918,female,8/28/81,33,719-782-8368
Edward,Morales,2110 Tenmile Road,Colorado Springs,CO,80918,male,3/23/63,52,719-761-5067
Toni,Moreau,1050 Richland Avenue,Colorado Springs,CO,80918,female,8/24/79,35,719-267-0153
Ronald,Moreno,403 Half and Half Drive,Colorado Springs,CO,80918,male,9/1/92,22,719-892-3867
Patricia,Morgan,671 Rose Avenue,Colorado Springs,CO,80918,female,12/1/31,83,719-213-7218
John,Moro,3903 Pooz Street,Colorado Springs,CO,80918,male,4/27/90,25,719-205-1444
Calvin,Morris,3053 Maloy Court,Colorado Springs,CO,80918,male,7/28/84,30,719-425-2592
Victoria,Morton,240 Eva Pearl Street,Colorado Springs,CO,80918,female,9/18/42,72,719-659-3966
David,Mosley,2314 Queens Lane,Colorado Springs,CO,80918,male,11/14/93,21,719-634-8463
Claudette,Mullen,4782 College Street,Colorado Springs,CO,80918,female,2/1/59,56,719-359-6875
Micheal,Munos,235 Maple Lane,Colorado Springs,CO,80918,male,8/7/77,37,719-517-5469
Maggie,Murphy,3914 Lowland Drive,Colorado Springs,CO,80918,female,12/23/58,56,719-353-6446
Anthony,Murrill,1160 Sycamore Lake Road,Colorado Springs,CO,80918,male,11/21/34,80,719-467-3406
Richard,Nair,2064 Shadowmar Drive,Colorado Springs,CO,80918,male,9/21/89,25,719-944-5155
Barbara,Narvaez,4560 Big Elm,Colorado Springs,CO,80918,female,6/2/50,65,719-855-1926
Graham,Natali,2240 Green Avenue,Colorado Springs,CO,80918,male,11/16/85,29,719-802-9634
Mary,Newby,656 West Drive,Colorado Springs,CO,80918,female,11/19/68,46,719-429-4580
Lawrence,Newman,1277 Columbia Road,Colorado Springs,CO,80918,male,7/28/83,31,719-789-4346
Kimberly,Nielsen,57 Jarvisville Road,Colorado Springs,CO,80918,female,10/7/45,69,719-983-9997
Jeanne,Oliver,4662 Meadow Drive,Colorado Springs,CO,80918,female,2/5/68,47,719-933-0708
Frank,Olson,4375 Grove Street,Colorado Springs,CO,80918,male,3/7/30,85,719-734-7498
James,O'Neill,786 Echo Lane,Colorado Springs,CO,80918,male,11/22/38,76,719-962-5750
Rachel,Ortega,3183 Lamberts Branch Road,Colorado Springs,CO,80918,female,9/5/48,66,719-942-4365
Mary,Ortis,4556 Drummond Street,Colorado Springs,CO,80918,female,9/23/43,71,719-203-7384
Samantha,Ortiz,3509 Lamberts Branch Road,Colorado Springs,CO,80918,female,6/22/73,42,719-524-3578
Debra,Osborne,1547 Cemetery Street,Colorado Springs,CO,80918,female,2/23/58,57,719-883-0623
Celeste,Pace,2477 Star Route,Colorado Springs,CO,80918,female,3/31/88,27,719-638-7198
Paul,Pacheco,1902 Capitol Avenue,Colorado Springs,CO,80918,male,4/19/53,62,719-562-2236
David,Padilla,2315 Cerullo Road,Colorado Springs,CO,80918,male,6/24/33,82,719-372-1567
Michael,Page,1372 Gandy Street,Colorado Springs,CO,80918,male,12/11/52,62,719-220-9831
Angelina,Palmer,1649 Elk Street,Colorado Springs,CO,80918,female,8/3/42,72,719-756-2194
David,Papineau,1112 Pinewood Avenue,Colorado Springs,CO,80918,male,1/18/79,36,719-622-2368
Monica,Paquin,4819 Scenic Way,Colorado Springs,CO,80918,female,1/29/43,72,719-671-0182
Pamela,Parker,3996 Locust View Drive,Colorado Springs,CO,80918,female,2/18/58,57,719-908-0827
Frank,Parks,441 Columbia Boulevard,Colorado Springs,CO,80918,male,6/10/78,37,719-510-7481
Crystal,Patterson,4750 Mcwhorter Road,Colorado Springs,CO,80918,female,12/24/29,85,719-457-8798
Kerri,Paulson,2391 Harry Place,Colorado Springs,CO,80918,female,1/17/74,41,719-813-8101
Janice,Pearce,1081 Preston Street,Colorado Springs,CO,80918,female,7/11/91,23,719-995-2708
Roger,Peckham,161 Ottis Street,Colorado Springs,CO,80918,male,5/19/42,73,719-378-3158
Maggie,Peters,4755 Commerce Boulevard,Colorado Springs,CO,80918,female,7/11/34,80,719-607-3106
Joanne,Pettit,4363 Hayhurst Lane,Colorado Springs,CO,80918,female,1/29/63,52,719-783-8279
Joshua,Pierson,1039 Woodbridge Lane,Colorado Springs,CO,80918,male,7/28/34,80,719-563-7658
William,Pines,915 Raintree Boulevard,Colorado Springs,CO,80918,male,8/29/67,47,719-243-1173
Callie,Pino,3005 Hiddenview Drive,Colorado Springs,CO,80918,female,2/25/88,27,719-933-2027
Frank,Powell,3884 Spirit Drive,Colorado Springs,CO,80918,male,1/1/46,69,719-734-3404
Steve,Quiroz,3579 Palmer Road,Colorado Springs,CO,80918,male,8/18/37,77,719-660-1362
Michael,Reardon,2811 Rose Avenue,Colorado Springs,CO,80918,male,9/8/31,83,719-239-6658
Amy,Reasoner,4104 Shady Pines Drive,Colorado Springs,CO,80918,female,11/14/91,23,719-993-6370
Fabiola,Reed,1629 Metz Lane,Colorado Springs,CO,80918,female,3/13/83,32,719-993-2657
Dawn,Regan,4125 Spadafore Drive,Colorado Springs,CO,80918,female,1/16/69,46,719-808-3734
Rosemarie,Reynolds,4840 Pin Oak Drive,Colorado Springs,CO,80918,female,6/23/66,49,719-930-1104
Daniel,Rhymes,2938 Maple Street,Colorado Springs,CO,80918,male,4/11/64,51,719-359-1618
Patricia,Rice,680 Koontz Lane,Colorado Springs,CO,80918,female,8/26/49,65,719-748-2921
Aja,Riddle,3214 Charter Street,Colorado Springs,CO,80918,female,10/18/39,75,719-829-5812
Louis,Rigby,3094 Veltri Drive,Colorado Springs,CO,80918,male,9/27/52,62,719-237-6135
Shannon,Riggs,4000 Virginia Street,Colorado Springs,CO,80918,female,5/18/59,56,719-566-9365
Elsa,Riggs,2987 Pine Garden Lane,Colorado Springs,CO,80918,female,1/20/37,78,719-688-9052
Ramon,Roberts,3208 Plainfield Avenue,Colorado Springs,CO,80918,male,8/25/54,60,719-578-6026
Lois,Roberts,1992 Bloomfield Way,Colorado Springs,CO,80918,female,7/27/62,52,719-567-8012
Betty,Robinson,50 Stutler Lane,Colorado Springs,CO,80918,female,7/1/89,25,719-437-8110
Luke,Rodriguez,3736 Burnside Court,Colorado Springs,CO,80918,male,6/26/92,22,719-382-3221
Clyde,Rogers,1594 Burnside Court,Colorado Springs,CO,80918,male,8/17/50,64,719-353-4613
Carl,Romo,3900 Shearwood Forest Drive,Colorado Springs,CO,80918,male,1/20/30,85,719-276-4977
Earline,Roper,4769 Rainy Day Drive,Colorado Springs,CO,80918,female,1/28/75,40,719-933-5806
Pamela,Roquemore,2039 Parkview Drive,Colorado Springs,CO,80918,female,4/28/62,53,719-216-9597
Daniel,Rosales,502 Irish Lane,Colorado Springs,CO,80918,male,2/5/60,55,719-742-3714
Erin,Rouillard,2638 Eagles Nest Drive,Colorado Springs,CO,80918,female,6/21/77,38,719-656-4355
Henry,Rourke,862 New Creek Road,Colorado Springs,CO,80918,male,7/18/83,31,719-216-5989
James,Roush,2117 Passaic Street,Colorado Springs,CO,80918,male,4/23/31,84,719-276-7415
Harry,Rumph,1857 University Hill Road,Colorado Springs,CO,80918,male,8/8/53,61,719-520-4682
Charlie,Rupp,4326 Center Street,Colorado Springs,CO,80918,male,4/29/85,30,719-998-6938
Randy,Russell,2860 Massachusetts Avenue,Colorado Springs,CO,80918,male,11/18/81,33,719-767-0890
Mia,Samuel,430 Clarence Court,Colorado Springs,CO,80918,female,6/14/93,22,719-960-6294
Norma,Sanches,4354 Tator Patch Road,Colorado Springs,CO,80918,female,10/20/68,46,719-912-9727
Curtis,Sanchez,144 Jim Rosa Lane,Colorado Springs,CO,80918,male,9/29/69,45,719-752-3452
Michelle,Sandberg,3082 Evergreen Lane,Colorado Springs,CO,80918,female,8/4/51,63,719-552-3397
Gregory,Sanders,630 Hiney Road,Colorado Springs,CO,80918,male,4/7/40,75,719-974-2661
Patrick,Santiago,2214 Irving Road,Colorado Springs,CO,80918,male,12/13/61,53,719-496-3713
Marc,Schaefer,4525 Meadowbrook Mall Road,Colorado Springs,CO,80918,male,7/21/56,58,719-822-8268
Dominique,Schaffer,4966 Parkway Drive,Colorado Springs,CO,80918,female,10/27/86,28,719-495-8030
Sue,Schloss,1156 Smith Street,Colorado Springs,CO,80918,female,4/14/63,52,719-799-9671
Janice,Schofield,3518 Elm Drive,Colorado Springs,CO,80918,female,10/13/80,34,719-507-9857
Leticia,Schultz,1551 Hinkle Lake Road,Colorado Springs,CO,80918,female,1/14/71,44,719-472-3887
Tresa,Schwartz,479 Linden Avenue,Colorado Springs,CO,80918,female,7/25/70,44,719-578-3919
Carolyn,Scott,3045 Tenmile Road,Colorado Springs,CO,80918,female,1/8/71,44,719-723-2132
Gilbert,Scott,3919 Holden Street,Colorado Springs,CO,80918,male,3/21/38,77,719-223-5091
Cynthia,Scott,1945 Michigan Avenue,Colorado Springs,CO,80918,female,7/19/33,81,719-628-3007
Charlene,Segura,63 Selah Way,Colorado Springs,CO,80918,female,8/27/83,31,719-569-4052
Adele,Shannon,4151 Angus Road,Colorado Springs,CO,80918,female,10/6/47,67,719-460-9710
Sheila,Shaw,3713 Duncan Avenue,Colorado Springs,CO,80918,female,3/20/54,61,719-616-8783
Leon,Sheffield,3163 Walnut Street,Colorado Springs,CO,80918,male,1/21/61,54,719-592-2598
Derrick,Sherrill,1376 Davis Avenue,Colorado Springs,CO,80918,male,12/15/68,46,719-698-9207
Donna,Simmons,2238 High Meadow Lane,Colorado Springs,CO,80918,female,1/15/96,19,719-542-5915
Dorothy,Simmons,1606 Retreat Avenue,Colorado Springs,CO,80918,female,10/21/59,55,719-342-3018
Leonore,Smalls,4829 Stonepot Road,Colorado Springs,CO,80918,female,10/19/60,54,719-412-2136
Juan,Smith,1516 Levy Court,Colorado Springs,CO,80918,male,7/10/29,85,719-665-6233
Mary,Smith,3620 Bartlett Avenue,Colorado Springs,CO,80918,female,2/9/62,53,719-577-7994
Patricia,Smith,2802 Pringle Drive,Colorado Springs,CO,80918,female,4/30/46,69,719-320-9027
Jaclyn,Smith,3842 Sussex Court,Colorado Springs,CO,80918,female,4/29/78,37,719-466-1773
Victor,Smith,2588 Drainer Avenue,Colorado Springs,CO,80918,male,12/30/33,81,719-559-7824
Robert,Smith,90 Harley Brook Lane,Colorado Springs,CO,80918,male,7/19/29,85,719-601-3276
Dorothy,Smith,4462 Lang Avenue,Colorado Springs,CO,80918,female,5/11/86,29,719-862-1920
Anthony,Smith,664 Grasselli Street,Colorado Springs,CO,80918,male,9/23/32,82,719-364-2684
Kristin,Smith,1977 College Avenue,Colorado Springs,CO,80918,female,7/3/58,56,719-397-5797
Donald,Smith,2672 Whaley Lane,Colorado Springs,CO,80918,male,4/15/83,32,719-552-2390
Joel,Smith,1197 John Avenue,Colorado Springs,CO,80918,male,8/22/32,82,719-877-1461
Jeffrey,Snowden,3638 Wilson Street,Colorado Springs,CO,80918,male,7/21/45,69,719-934-8423
Kathleen,Soles,20 Modoc Alley,Colorado Springs,CO,80918,female,10/5/34,80,719-249-6032
Matthew,Sosa,2116 Brannon Street,Colorado Springs,CO,80918,male,5/29/41,74,719-270-1239
Richard,Steele,1197 Pinewood Drive,Colorado Springs,CO,80918,male,1/26/86,29,719-801-4069
Isreal,Steele,4128 Heavner Avenue,Colorado Springs,CO,80918,male,7/30/53,61,719-867-8604
John,Steelman,636 Peck Street,Colorado Springs,CO,80918,male,11/30/71,43,719-889-1039
Leroy,Stephens,4636 Smith Road,Colorado Springs,CO,80918,male,5/16/54,61,719-967-4799
Walter,Steward,3243 Veltri Drive,Colorado Springs,CO,80918,male,4/1/57,58,719-257-5657
John,Stinchcomb,3389 Waldeck Street,Colorado Springs,CO,80918,male,7/30/80,34,719-422-0249
Miguel,Stith,3108 Perry Street,Colorado Springs,CO,80918,male,4/3/37,78,719-600-9979
Elroy,Stjohn,133 Stonepot Road,Colorado Springs,CO,80918,male,10/13/57,57,719-439-2365
Frank,Strong,4828 Laurel Lee,Colorado Springs,CO,80918,male,10/8/43,71,719-210-1734
Peter,Stroud,4071 Bubby Drive,Colorado Springs,CO,80918,male,7/21/84,30,719-399-5964
Fred,Sumner,1778 Airplane Avenue,Colorado Springs,CO,80918,male,4/2/71,44,719-931-8154
Alyssa,Swafford,2115 Formula Lane,Colorado Springs,CO,80918,female,2/25/85,30,719-643-0108
Dawn,Swanson,3124 Oakridge Farm Lane,Colorado Springs,CO,80918,female,4/22/62,53,719-308-9371
Kenneth,Sweeney,4533 Rainy Day Drive,Colorado Springs,CO,80918,male,6/23/52,63,719-991-6491
Susan,Talley,484 Glen Falls Road,Colorado Springs,CO,80918,female,3/15/31,84,719-824-0105
Grace,Taylor,451 Raoul Wallenberg Place,Colorado Springs,CO,80918,female,5/14/87,28,719-887-0222
Joshua,Taylor,3049 Lucky Duck Drive,Colorado Springs,CO,80918,male,3/23/93,22,719-779-4262
Claretta,Taylor,2633 Carriage Lane,Colorado Springs,CO,80918,female,3/24/37,78,719-404-6299
Susan,Tebo,1715 Kennedy Court,Colorado Springs,CO,80918,female,11/9/38,76,719-392-3766
David,Temples,1947 Coburn Hollow Road,Colorado Springs,CO,80918,male,1/1/96,19,719-354-7556
Charles,Thompson,3861 Stratford Court,Colorado Springs,CO,80918,male,1/5/62,53,719-707-8143
Tyler,Thompson,4530 Glory Road,Colorado Springs,CO,80918,male,5/7/75,40,719-903-5707
Shawn,Thrift,2687 Canis Heights Drive,Colorado Springs,CO,80918,male,11/25/94,20,719-618-0272
Colby,Tignor,2083 Ashton Lane,Colorado Springs,CO,80918,female,12/17/94,20,719-528-7316
Betty,Tillery,1256 Everette Alley,Colorado Springs,CO,80918,female,9/16/34,80,719-739-3117
Stanley,Tolliver,2131 Monroe Avenue,Colorado Springs,CO,80918,male,1/6/72,43,719-773-5467
Jimmie,Travis,815 Pin Oak Drive,Colorado Springs,CO,80918,male,10/13/68,46,719-923-7755
Jaime,Turner,4095 Huntz Lane,Colorado Springs,CO,80918,male,11/10/50,64,719-608-3873
William,Tyler,595 Mount Tabor,Colorado Springs,CO,80918,male,3/5/50,65,719-482-5488
William,Valdes,3497 C Street,Colorado Springs,CO,80918,male,12/21/72,42,719-370-5766
Inez,Valenzuela,204 Owen Lane,Colorado Springs,CO,80918,female,7/6/46,68,719-955-4590
Lorraine,Vanbuskirk,2875 High Meadow Lane,Colorado Springs,CO,80918,female,8/5/61,53,719-558-6998
Martin,Vest,4626 Johnny Lane,Colorado Springs,CO,80918,male,7/21/37,77,719-243-5614
Robert,Viera,63 Mesa Drive,Colorado Springs,CO,80918,male,3/9/95,20,719-423-5382
Faye,Vogt,3250 Poplar Avenue,Colorado Springs,CO,80918,female,4/18/56,59,719-615-9628
Robert,Wagner,4668 Sunburst Drive,Colorado Springs,CO,80918,male,3/2/73,42,719-312-5007
Pete,Walker,3599 Hoffman Avenue,Colorado Springs,CO,80918,male,1/28/67,48,719-869-5340
Amanda,Walker,219 Rinehart Road,Colorado Springs,CO,80918,female,3/20/78,37,719-487-2796
Portia,Wallis,4976 Sycamore Road,Colorado Springs,CO,80918,female,1/2/30,85,719-416-1020
Elnora,Warf,977 Lakewood Drive,Colorado Springs,CO,80918,female,9/17/90,24,719-885-0639
Darcie,Warner,1962 Baker Avenue,Colorado Springs,CO,80918,female,5/17/93,22,719-861-2329
Malika,Watts,2192 Cooks Mine Road,Colorado Springs,CO,80918,female,12/19/84,30,719-760-1326
Pauline,Webber,1480 Birch  Street,Colorado Springs,CO,80918,female,9/30/37,77,719-544-9289
Bryan,Weber,1416 Angus Road,Colorado Springs,CO,80918,male,8/23/43,71,719-392-6535
Lulu,Weinberg,3532 Main Street,Colorado Springs,CO,80918,female,2/20/65,50,719-585-2467
John,Welch,4639 Rhode Island Avenue,Colorado Springs,CO,80918,male,10/8/35,79,719-393-0710
Mary,Weston,4031 Stadium Drive,Colorado Springs,CO,80918,female,1/7/96,19,719-282-6367
June,Whalen,1714 Ferrell Street,Colorado Springs,CO,80918,female,9/10/85,29,719-467-4869
Mark,Whatley,3328 Ralph Drive,Colorado Springs,CO,80918,male,7/24/52,62,719-229-7256
Debbie,Wheeler,1579 Perine Street,Colorado Springs,CO,80918,female,7/9/52,62,719-730-8618
Christina,Whitaker,482 Oak Avenue,Colorado Springs,CO,80918,female,5/21/85,30,719-990-7886
Derrick,White,191 Williams Mine Road,Colorado Springs,CO,80918,male,10/10/88,26,719-275-1483
Barbara,White,3284 Jerome Avenue,Colorado Springs,CO,80918,female,4/13/65,50,719-276-1626
Linda,White,530 Meadow Drive,Colorado Springs,CO,80918,female,10/22/74,40,719-217-5142
Johnny,Williams,1364 Roguski Road,Colorado Springs,CO,80918,male,12/13/61,53,719-279-0183
Wallace,Williams,736 Coventry Court,Colorado Springs,CO,80918,male,9/17/72,42,719-806-9090
Ricky,Williams,654 Del Dew Drive,Colorado Springs,CO,80918,male,7/8/71,43,719-831-8293
Catherine,Williams,3871 Oak Ridge Drive,Colorado Springs,CO,80918,female,8/12/29,85,719-481-4557
Juanita,Wilson,1597 Finwood Road,Colorado Springs,CO,80918,female,7/7/67,47,719-438-8401
Chrissy,Wilson,3568 Tail Ends Road,Colorado Springs,CO,80918,female,8/30/49,65,719-573-4449
Erin,Wilson,4488 Locust Street,Colorado Springs,CO,80918,female,8/26/60,54,719-896-8108
Nancy,Wilton,4257 Bassell Avenue,Colorado Springs,CO,80918,female,1/11/74,41,719-682-6075
Robert,Wolfe,3222 James Avenue,Colorado Springs,CO,80918,male,10/29/62,52,719-266-2663
Darlene,Wolfe,1884 Wilmar Farm Road,Colorado Springs,CO,80918,female,1/3/76,39,719-303-8055
Tiffany,Wolff,2918 Vineyard Drive,Colorado Springs,CO,80918,female,6/1/91,24,719-324-6842
Dayle,Wood,2725 Stiles Street,Colorado Springs,CO,80918,female,11/26/50,64,719-553-8394
Vicki,Wood,3796 Edgewood Road,Colorado Springs,CO,80918,female,6/27/57,58,719-910-8505
Roger,Woodard,1655 Olive Street,Colorado Springs,CO,80918,male,2/27/56,59,719-369-4260
Arthur,Woodie,4140 Randall Drive,Colorado Springs,CO,80918,male,1/15/65,50,719-848-5996
Jessica,Woods,1755 Euclid Avenue,Colorado Springs,CO,80918,female,3/15/66,49,719-358-2181
Bob,Wozniak,2164 Pine Garden Lane,Colorado Springs,CO,80918,male,4/30/91,24,719-750-5879
Luther,Wyatt,4796 Duffy Street,Colorado Springs,CO,80918,male,7/1/65,49,719-718-8069
Marie,Yates,568 Goosetown Drive,Colorado Springs,CO,80918,female,2/8/62,53,719-750-5651
Birdie,Young,2121 Shingleton Road,Colorado Springs,CO,80918,female,6/29/46,69,719-414-5181
Ernest,Zeitz,4006 Java Lane,Colorado Springs,CO,80918,male,12/13/92,22,719-566-4986
Raymond,Zellner,1830 Byrd Lane,Colorado Springs,CO,80918,male,6/5/54,61,719-243-8484
Timothy,Zoeller,2056 Berkshire Circle,Colorado Springs,CO,80918,male,9/7/80,34,719-769-2390
Sara,Zuniga,834 Newton Street,Colorado Springs,CO,80918,female,1/19/51,64,719-262-5578
